Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient,Coefficient_Value_1,Coefficient_Value_2,Coefficient_Value_3,Coefficient_Value_4,Coefficient_Value_5,Coefficient_Value_6,Coefficient_Value_7,Coefficient_Value_8,Coefficient_Value_9,Coefficient_Value_10,Coefficient_Value_11,Coefficient_Value_12,Coefficient_Value_13,Coefficient_Value_14,Coefficient_Value_15,Coefficient_Value_16
Curvatures,30,5,0.028190456917257554,0.011749101072320332,0.008091797129561871,0.014693316742536029,0.003537797727256645,0.01791627112693239,0.026810199083977016,0.01636831988797296,0.028190456917257554,0.014552593579353882,0.00558577696914223,0.0014112946732292206,0.0030963171097855443,0.007140797059452019,0.01739694905969588,0.008830872022914441,0.011540638490842704,0.010281574774516201,0.0006324419322606032
Curvatures,31,3,0.05004340272041146,0.016136150352773236,0.01179683207918839,0.013848007119456789,0.015328797805276467,0.00460273749397953,0.05004340272041146,0.020275711310673936,0.03172851333009992,0.0027122807432058207,0.02240636286381656,0.00925048263684853,0.013480844827106393,0.0066753639216833366,0.02584570317806717,0.013667136545340238,0.016708053639783407,0.005690694693310942,0.005914312815311287
Curvatures,32,3,0.06362186161736219,0.01896184553817231,0.014203946147332233,0.009488357585745965,0.021334801939882596,0.009729136729946837,0.06362186161736219,0.02115252488590532,0.022993178369208955,0.0038513451430756654,0.03173618954208265,0.01982428118970263,0.01581924947488965,0.007638516043742109,0.02987125274999779,0.016450162636849498,0.014638706509511844,0.0005415906676473,0.01469837352520595
Curvatures,33,3,0.06395827992487041,0.01828722165098986,0.01459189730963586,0.004653452279952009,0.02810958502693569,0.020785326611222087,0.06395827992487041,0.02050106882066407,0.004775246485049644,0.004898667452213997,0.026673989520739766,0.02416062916738563,0.010619235815592988,0.008854464297783221,0.028787364151398907,0.012572888678684013,0.008251674439193205,0.0053443095797291165,0.01964936416442297
Curvatures,34,3,0.0509940195542715,0.014908096652264727,0.012731333427293517,0.0070017074855856275,0.027966385617547166,0.020587088454234244,0.0509940195542715,0.013582181951614125,0.0069131616725574205,0.004206425213010802,0.009385083789061697,0.022245527718317955,7.761793177801535e-05,0.011929791457953974,0.02691509398674583,0.006400466035717531,0.005458888979892611,0.0020776153140551106,0.02278849127389202
Curvatures,35,11,0.026247957006762856,0.012305838637773599,0.007624411394147991,0.008286570005509473,0.02098974334715904,0.005125346466503555,0.021035379076874555,0.0004018172156021417,0.015894481758469158,0.0007419451876179183,0.015318860029435444,0.009409045585853386,0.013290476934265218,0.01715601541116804,0.026247957006762856,0.0018660793076568816,0.018096434469325937,0.00691455552523949,0.01611871087693448
Curvatures,36,7,0.029310527540171452,0.013715344467750848,0.008516531098373697,0.016146146036533193,0.011692375073397534,0.012580716023381752,0.007582896146655546,0.003465084220477404,0.015444001038811814,0.0037725954712772977,0.029310527540171452,0.007877511533776704,0.021904959480719396,0.022247028394563467,0.025806488068517763,0.0002721628566430428,0.020929866457788944,0.016685558318537342,0.0037275948227609075
Curvatures,37,11,0.027955351833079962,0.015263254335158433,0.010466069514639402,0.027538895936646202,0.0013400213415552548,0.02733932771064281,0.01937877056209221,0.0022226197063779556,0.0013139392491564026,0.006939112534455703,0.024922144913543113,0.014682395561652883,0.017576469149777608,0.027644686006644704,0.027955351833079962,0.0006828981374038095,0.015622349529370243,0.02412329159575887,0.004929795594377184
Curvatures,38,2,0.04047838562335437,0.013429710683171841,0.011866212839919303,0.02939835306472319,0.019329127413877198,0.04047838562335437,0.008522885868875483,0.0003130601091730808,0.007487199345149748,0.006310467534396681,0.002476701462618252,0.004832089728243434,0.0042312999912028,0.03204242624399074,0.021599524069506198,0.0039058114768175216,0.0024153304412328643,0.019934195615457888,0.011598512942130018
Curvatures,39,2,0.04478779640616853,0.017455167303152167,0.012069729754377057,0.0168215093556608,0.037707816008671284,0.04478779640616853,0.019449216998187923,0.005659838707412065,0.01637767898623275,0.0012451192621341883,0.026898699541677135,0.013417041509300598,0.010403647526013289,0.03506486265205011,0.01043935305953241,0.012246218483034145,0.011625720511484984,0.0045315664929523715,0.01260659134992208
